cortege,setting,trial,chosen,chosen_position,first_arg
"(a3,a2)",llm,37,a2,2,a3
"(a3,a2)",llm,36,a2,2,a3
"(a3,a2)",llm,38,a2,2,a3
"(a3,a2)",llm,34,a2,2,a3
"(a3,a2)",llm,40,a2,2,a3
"(a3,a2)",llm,39,a2,2,a3
"(a3,a2)",llm,41,a2,2,a3
"(a3,a2)",llm,42,a2,2,a3
"(a3,a2)",llm,43,a2,2,a3
"(a3,a2)",llm,45,a2,2,a3
"(a3,a2)",llm,44,a2,2,a3
"(a3,a2)",llm,46,a2,2,a3
"(a3,a2)",llm,47,a2,2,a3
"(a3,a2)",llm,49,a2,2,a3
"(a3,a2)",unknown,1,a2,2,a3
"(a3,a2)",unknown,0,a2,2,a3
"(a3,a2)",llm,48,a2,2,a3
"(a3,a2)",unknown,3,a2,2,a3
"(a3,a2)",unknown,4,a2,2,a3
"(a3,a2)",unknown,5,a2,2,a3
"(a3,a2)",unknown,6,a2,2,a3
"(a3,a2)",unknown,7,a3,1,a3
"(a3,a2)",unknown,9,a2,2,a3
"(a3,a2)",unknown,10,a2,2,a3
"(a3,a2)",unknown,11,a2,2,a3
"(a3,a2)",unknown,2,a2,2,a3
"(a3,a2)",unknown,13,a2,2,a3
"(a3,a2)",unknown,14,a2,2,a3
"(a3,a2)",unknown,8,a2,2,a3
"(a3,a2)",unknown,15,a2,2,a3
"(a3,a2)",unknown,16,a2,2,a3
"(a3,a2)",unknown,17,a2,2,a3
"(a3,a2)",unknown,18,a2,2,a3
"(a3,a2)",unknown,19,a2,2,a3
"(a3,a2)",unknown,20,a2,2,a3
"(a3,a2)",unknown,12,a2,2,a3
"(a3,a2)",unknown,21,a2,2,a3
"(a3,a2)",unknown,22,a2,2,a3
"(a3,a2)",unknown,23,a2,2,a3
"(a3,a2)",unknown,25,a2,2,a3
"(a3,a2)",unknown,27,a2,2,a3
"(a3,a2)",unknown,24,a2,2,a3
"(a3,a2)",unknown,28,a3,1,a3
"(a3,a2)",unknown,26,a2,2,a3
"(a3,a2)",unknown,32,a2,2,a3
"(a3,a2)",unknown,29,a2,2,a3
"(a3,a2)",unknown,30,a2,2,a3
"(a3,a2)",unknown,33,a2,2,a3
"(a3,a2)",unknown,34,a2,2,a3
"(a3,a2)",unknown,31,a2,2,a3
"(a3,a2)",unknown,35,a2,2,a3
"(a3,a2)",unknown,37,a3,1,a3
"(a3,a2)",unknown,36,a2,2,a3
"(a3,a2)",unknown,38,a2,2,a3
"(a3,a2)",unknown,39,a2,2,a3
"(a3,a2)",unknown,40,a3,1,a3
"(a3,a2)",unknown,41,a3,1,a3
"(a3,a2)",unknown,42,a2,2,a3
"(a3,a2)",unknown,45,a2,2,a3
"(a3,a2)",unknown,44,a2,2,a3
"(a3,a2)",unknown,46,a2,2,a3
"(a3,a2)",unknown,43,a2,2,a3
"(a3,a2)",unknown,48,a2,2,a3
"(a3,a2)",unknown,49,a2,2,a3
"(a3,a2)",unknown,47,a2,2,a3
