experiment,i,j,pair_type,calibrated_STS
2_without_indep,a5,a6,pro-con,1.3967
2_without_indep,a5,a7,pro-con,2.0357
2_without_indep,a5,a8,pro-con,1.6187
2_without_indep,a5,a9,pro-con,1.6491
2_without_indep,a5,a10,pro-con,1.4614
2_without_indep,a6,a7,con-con,1.6491
2_without_indep,a6,a8,con-con,2.8565
2_without_indep,a6,a9,con-con,1.6947
2_without_indep,a6,a10,con-con,1.6491
2_without_indep,a7,a8,con-con,1.6947
2_without_indep,a7,a9,con-con,1.6491
2_without_indep,a7,a10,con-con,1.3351
2_without_indep,a8,a9,con-con,2.3779
2_without_indep,a8,a10,con-con,1.4614
2_without_indep,a9,a10,con-con,0.8729
3_synonym_pairs,a1,a2,pro-pro,3.2111
3_synonym_pairs,a1,a3,pro-pro,0.8729
3_synonym_pairs,a1,a4,pro-pro,1.3351
3_synonym_pairs,a1,a5,pro-pro,3.2111
3_synonym_pairs,a1,a6,pro-con,3.1625
3_synonym_pairs,a1,a7,pro-con,1.3351
3_synonym_pairs,a1,a8,pro-con,1.6491
3_synonym_pairs,a1,a9,pro-con,1.4833
3_synonym_pairs,a1,a10,pro-con,1.6491
3_synonym_pairs,a2,a3,pro-pro,1.4614
3_synonym_pairs,a2,a4,pro-pro,1.6491
3_synonym_pairs,a2,a5,pro-pro,3.2111
3_synonym_pairs,a2,a6,pro-con,3.2111
3_synonym_pairs,a2,a7,pro-con,1.6952
3_synonym_pairs,a2,a8,pro-con,2.1415
3_synonym_pairs,a2,a9,pro-con,2.3779
3_synonym_pairs,a2,a10,pro-con,1.6491
3_synonym_pairs,a3,a4,pro-pro,3.4716
3_synonym_pairs,a3,a5,pro-pro,1.6187
3_synonym_pairs,a3,a6,pro-con,1.4614
3_synonym_pairs,a3,a7,pro-con,1.6491
3_synonym_pairs,a3,a8,pro-con,1.6491
3_synonym_pairs,a3,a9,pro-con,1.3351
3_synonym_pairs,a3,a10,pro-con,1.3351
3_synonym_pairs,a4,a5,pro-pro,1.6491
3_synonym_pairs,a4,a6,pro-con,1.4614
3_synonym_pairs,a4,a7,pro-con,2.3779
3_synonym_pairs,a4,a8,pro-con,2.6573
3_synonym_pairs,a4,a9,pro-con,1.4833
3_synonym_pairs,a4,a10,pro-con,1.4614
3_synonym_pairs,a5,a6,pro-con,3.1625
3_synonym_pairs,a5,a7,pro-con,2.0357
3_synonym_pairs,a5,a8,pro-con,2.3779
3_synonym_pairs,a5,a9,pro-con,1.6491
3_synonym_pairs,a5,a10,pro-con,1.4614
3_synonym_pairs,a6,a7,con-con,1.3351
3_synonym_pairs,a6,a8,con-con,1.6491
3_synonym_pairs,a6,a9,con-con,1.6491
3_synonym_pairs,a6,a10,con-con,1.4614
3_synonym_pairs,a7,a8,con-con,3.4716
3_synonym_pairs,a7,a9,con-con,2.9652
3_synonym_pairs,a7,a10,con-con,2.1415
3_synonym_pairs,a8,a9,con-con,1.6947
3_synonym_pairs,a8,a10,con-con,1.6187
3_synonym_pairs,a9,a10,con-con,3.1625
4_synonym_by_stance,a1,a2,pro-pro,3.4583
4_synonym_by_stance,a1,a3,pro-pro,3.2165
4_synonym_by_stance,a1,a4,pro-pro,3.1625
4_synonym_by_stance,a1,a5,pro-pro,3.4176
4_synonym_by_stance,a1,a6,pro-con,1.6491
4_synonym_by_stance,a1,a7,pro-con,1.4614
4_synonym_by_stance,a1,a8,pro-con,1.66
4_synonym_by_stance,a1,a9,pro-con,0.8729
4_synonym_by_stance,a1,a10,pro-con,0.9472
4_synonym_by_stance,a2,a3,pro-pro,3.2111
4_synonym_by_stance,a2,a4,pro-pro,3.2111
4_synonym_by_stance,a2,a5,pro-pro,3.4583
4_synonym_by_stance,a2,a6,pro-con,1.6187
4_synonym_by_stance,a2,a7,pro-con,2.0357
4_synonym_by_stance,a2,a8,pro-con,2.6573
4_synonym_by_stance,a2,a9,pro-con,0.9855
4_synonym_by_stance,a2,a10,pro-con,1.4614
4_synonym_by_stance,a3,a4,pro-pro,3.5727
4_synonym_by_stance,a3,a5,pro-pro,3.9275
4_synonym_by_stance,a3,a6,pro-con,2.3779
4_synonym_by_stance,a3,a7,pro-con,1.6491
4_synonym_by_stance,a3,a8,pro-con,2.8565
4_synonym_by_stance,a3,a9,pro-con,1.6187
4_synonym_by_stance,a3,a10,pro-con,1.6947
4_synonym_by_stance,a4,a5,pro-pro,3.5597
4_synonym_by_stance,a4,a6,pro-con,1.6947
4_synonym_by_stance,a4,a7,pro-con,1.6947
4_synonym_by_stance,a4,a8,pro-con,2.6573
4_synonym_by_stance,a4,a9,pro-con,1.6491
4_synonym_by_stance,a4,a10,pro-con,1.6187
4_synonym_by_stance,a5,a6,pro-con,2.1415
4_synonym_by_stance,a5,a7,pro-con,1.6947
4_synonym_by_stance,a5,a8,pro-con,2.5534
4_synonym_by_stance,a5,a9,pro-con,1.6187
4_synonym_by_stance,a5,a10,pro-con,1.6491
4_synonym_by_stance,a6,a7,con-con,3.4176
4_synonym_by_stance,a6,a8,con-con,2.8565
4_synonym_by_stance,a6,a9,con-con,3.2111
4_synonym_by_stance,a6,a10,con-con,3.4176
4_synonym_by_stance,a7,a8,con-con,3.1625
4_synonym_by_stance,a7,a9,con-con,3.1625
4_synonym_by_stance,a7,a10,con-con,3.4583
4_synonym_by_stance,a8,a9,con-con,2.3779
4_synonym_by_stance,a8,a10,con-con,2.3779
4_synonym_by_stance,a9,a10,con-con,2.9762
