experiment,i,j,valence_i,valence_j,pair_type,cosine,calibrated_STS,arg_i,arg_j
1_paper(indep),7,10,con,con,con-con,0.5826,1.3351,Widespread gun ownership leads to preventable deaths through…,The original intent of armed militias is obsolete given prof…
1_paper(indep),8,9,con,con,con-con,0.6497,1.6491,Easy access to firearms significantly increases successful s…,Firearms in homes increase the likelihood that domestic disp…
1_paper(indep),8,10,con,con,con-con,0.5045,0.8729,Easy access to firearms significantly increases successful s…,The original intent of armed militias is obsolete given prof…
1_paper(indep),9,10,con,con,con-con,0.5644,0.9855,Firearms in homes increase the likelihood that domestic disp…,The original intent of armed militias is obsolete given prof…
2_without_indep,1,2,pro,pro,pro-pro,0.7109,2.3779,"Individuals have a fundamental right to protect themselves, …","In countries like the US, this right is explicitly protected…"
2_without_indep,1,3,pro,pro,pro-pro,0.7213,2.3779,"Individuals have a fundamental right to protect themselves, …",An armed citizenry serves as a check against potential gover…
2_without_indep,1,4,pro,pro,pro-pro,0.6925,2.1415,"Individuals have a fundamental right to protect themselves, …",People in rural areas often rely on firearms for protection …
2_without_indep,1,5,pro,pro,pro-pro,0.5816,1.3351,"Individuals have a fundamental right to protect themselves, …","Firearms play important roles in hunting traditions, competi…"
2_without_indep,1,6,pro,con,pro-con,0.6229,1.4833,"Individuals have a fundamental right to protect themselves, …","Widespread gun ownership increases risks of accidents, impul…"
2_without_indep,1,7,pro,con,pro-con,0.5925,1.375,"Individuals have a fundamental right to protect themselves, …","Limiting access to firearms reduces suicide rates, as guns p…"
2_without_indep,1,8,pro,con,pro-con,0.5876,1.3351,"Individuals have a fundamental right to protect themselves, …",Widespread civilian gun ownership makes police work more dan…
2_without_indep,1,9,pro,con,pro-con,0.6034,1.4614,"Individuals have a fundamental right to protect themselves, …",Gun rights were conceived in a different era; modern weapons…
2_without_indep,1,10,pro,con,pro-con,0.6351,1.6187,"Individuals have a fundamental right to protect themselves, …",Countries with stricter gun laws often have significantly lo…
2_without_indep,2,3,pro,pro,pro-pro,0.6635,1.6491,"In countries like the US, this right is explicitly protected…",An armed citizenry serves as a check against potential gover…
2_without_indep,2,4,pro,pro,pro-pro,0.5542,0.9855,"In countries like the US, this right is explicitly protected…",People in rural areas often rely on firearms for protection …
2_without_indep,2,5,pro,pro,pro-pro,0.5367,0.9472,"In countries like the US, this right is explicitly protected…","Firearms play important roles in hunting traditions, competi…"
2_without_indep,2,6,pro,con,pro-con,0.4906,0.6713,"In countries like the US, this right is explicitly protected…","Widespread gun ownership increases risks of accidents, impul…"
2_without_indep,2,7,pro,con,pro-con,0.5387,0.9472,"In countries like the US, this right is explicitly protected…","Limiting access to firearms reduces suicide rates, as guns p…"
2_without_indep,2,8,pro,con,pro-con,0.4563,0.6713,"In countries like the US, this right is explicitly protected…",Widespread civilian gun ownership makes police work more dan…
2_without_indep,2,9,pro,con,pro-con,0.5575,0.9855,"In countries like the US, this right is explicitly protected…",Gun rights were conceived in a different era; modern weapons…
2_without_indep,2,10,pro,con,pro-con,0.6601,1.6491,"In countries like the US, this right is explicitly protected…",Countries with stricter gun laws often have significantly lo…
2_without_indep,3,4,pro,pro,pro-pro,0.6757,1.6947,An armed citizenry serves as a check against potential gover…,People in rural areas often rely on firearms for protection …
2_without_indep,3,5,pro,pro,pro-pro,0.5612,0.9855,An armed citizenry serves as a check against potential gover…,"Firearms play important roles in hunting traditions, competi…"
2_without_indep,3,6,pro,con,pro-con,0.5463,0.9472,An armed citizenry serves as a check against potential gover…,"Widespread gun ownership increases risks of accidents, impul…"
2_without_indep,3,7,pro,con,pro-con,0.6003,1.4614,An armed citizenry serves as a check against potential gover…,"Limiting access to firearms reduces suicide rates, as guns p…"
2_without_indep,3,8,pro,con,pro-con,0.6145,1.4614,An armed citizenry serves as a check against potential gover…,Widespread civilian gun ownership makes police work more dan…
2_without_indep,3,9,pro,con,pro-con,0.5996,1.4614,An armed citizenry serves as a check against potential gover…,Gun rights were conceived in a different era; modern weapons…
2_without_indep,3,10,pro,con,pro-con,0.6934,2.1415,An armed citizenry serves as a check against potential gover…,Countries with stricter gun laws often have significantly lo…
2_without_indep,4,5,pro,pro,pro-pro,0.6946,2.1415,People in rural areas often rely on firearms for protection …,"Firearms play important roles in hunting traditions, competi…"
2_without_indep,4,6,pro,con,pro-con,0.6473,1.6491,People in rural areas often rely on firearms for protection …,"Widespread gun ownership increases risks of accidents, impul…"
2_without_indep,4,7,pro,con,pro-con,0.6209,1.4833,People in rural areas often rely on firearms for protection …,"Limiting access to firearms reduces suicide rates, as guns p…"
2_without_indep,4,8,pro,con,pro-con,0.6896,2.1415,People in rural areas often rely on firearms for protection …,Widespread civilian gun ownership makes police work more dan…
2_without_indep,4,9,pro,con,pro-con,0.6127,1.4614,People in rural areas often rely on firearms for protection …,Gun rights were conceived in a different era; modern weapons…
2_without_indep,4,10,pro,con,pro-con,0.6518,1.6491,People in rural areas often rely on firearms for protection …,Countries with stricter gun laws often have significantly lo…
2_without_indep,5,6,pro,con,pro-con,0.6264,1.4833,"Firearms play important roles in hunting traditions, competi…","Widespread gun ownership increases risks of accidents, impul…"
2_without_indep,5,7,pro,con,pro-con,0.5618,0.9855,"Firearms play important roles in hunting traditions, competi…","Limiting access to firearms reduces suicide rates, as guns p…"
2_without_indep,5,8,pro,con,pro-con,0.5826,1.3351,"Firearms play important roles in hunting traditions, competi…",Widespread civilian gun ownership makes police work more dan…
2_without_indep,5,9,pro,con,pro-con,0.6464,1.6491,"Firearms play important roles in hunting traditions, competi…",Gun rights were conceived in a different era; modern weapons…
2_without_indep,5,10,pro,con,pro-con,0.6079,1.4614,"Firearms play important roles in hunting traditions, competi…",Countries with stricter gun laws often have significantly lo…
2_without_indep,6,7,con,con,con-con,0.632,1.6187,"Widespread gun ownership increases risks of accidents, impul…","Limiting access to firearms reduces suicide rates, as guns p…"
2_without_indep,6,8,con,con,con-con,0.7586,2.8565,"Widespread gun ownership increases risks of accidents, impul…",Widespread civilian gun ownership makes police work more dan…
2_without_indep,6,9,con,con,con-con,0.6237,1.4833,"Widespread gun ownership increases risks of accidents, impul…",Gun rights were conceived in a different era; modern weapons…
2_without_indep,6,10,con,con,con-con,0.6133,1.4614,"Widespread gun ownership increases risks of accidents, impul…",Countries with stricter gun laws often have significantly lo…
2_without_indep,7,8,con,con,con-con,0.6082,1.4614,"Limiting access to firearms reduces suicide rates, as guns p…",Widespread civilian gun ownership makes police work more dan…
2_without_indep,7,9,con,con,con-con,0.6247,1.4833,"Limiting access to firearms reduces suicide rates, as guns p…",Gun rights were conceived in a different era; modern weapons…
2_without_indep,7,10,con,con,con-con,0.6513,1.6491,"Limiting access to firearms reduces suicide rates, as guns p…",Countries with stricter gun laws often have significantly lo…
2_without_indep,8,9,con,con,con-con,0.6262,1.4833,Widespread civilian gun ownership makes police work more dan…,Gun rights were conceived in a different era; modern weapons…
2_without_indep,8,10,con,con,con-con,0.5717,1.3351,Widespread civilian gun ownership makes police work more dan…,Countries with stricter gun laws often have significantly lo…
2_without_indep,9,10,con,con,con-con,0.64,1.6187,Gun rights were conceived in a different era; modern weapons…,Countries with stricter gun laws often have significantly lo…
3_synonym_pairs,1,2,pro,pro,pro-pro,0.8645,3.5099,The right to keep and bear arms is fundamental to protecting…,Gun ownership rights are essential for safeguarding personal…
3_synonym_pairs,1,3,pro,pro,pro-pro,0.8219,3.2111,The right to keep and bear arms is fundamental to protecting…,"Individuals have an inherent right to defend themselves, the…"
3_synonym_pairs,1,4,pro,pro,pro-pro,0.7979,2.9762,The right to keep and bear arms is fundamental to protecting…,"People possess a natural right to protect themselves, their …"
3_synonym_pairs,1,5,pro,pro,pro-pro,0.7922,2.9762,The right to keep and bear arms is fundamental to protecting…,The Second Amendment to the Constitution explicitly guarante…
3_synonym_pairs,1,6,pro,con,pro-con,0.7849,2.9652,The right to keep and bear arms is fundamental to protecting…,Gun ownership is constitutionally protected under the Second…
3_synonym_pairs,1,7,pro,con,pro-con,0.7049,2.1415,The right to keep and bear arms is fundamental to protecting…,Responsible gun ownership by law-abiding citizens actually e…
3_synonym_pairs,1,8,pro,con,pro-con,0.7112,2.3779,The right to keep and bear arms is fundamental to protecting…,"When lawful citizens carry firearms responsibly, it improves…"
3_synonym_pairs,1,9,pro,con,pro-con,0.6412,1.6187,The right to keep and bear arms is fundamental to protecting…,Firearms serve important practical purposes for many America…
3_synonym_pairs,1,10,pro,con,pro-con,0.6555,1.6491,The right to keep and bear arms is fundamental to protecting…,Guns have legitimate utilitarian functions in American socie…
3_synonym_pairs,2,3,pro,pro,pro-pro,0.8193,3.2111,Gun ownership rights are essential for safeguarding personal…,"Individuals have an inherent right to defend themselves, the…"
3_synonym_pairs,2,4,pro,pro,pro-pro,0.7986,2.9762,Gun ownership rights are essential for safeguarding personal…,"People possess a natural right to protect themselves, their …"
3_synonym_pairs,2,5,pro,pro,pro-pro,0.765,2.8565,Gun ownership rights are essential for safeguarding personal…,The Second Amendment to the Constitution explicitly guarante…
3_synonym_pairs,2,6,pro,con,pro-con,0.7807,2.9507,Gun ownership rights are essential for safeguarding personal…,Gun ownership is constitutionally protected under the Second…
3_synonym_pairs,2,7,pro,con,pro-con,0.7403,2.6573,Gun ownership rights are essential for safeguarding personal…,Responsible gun ownership by law-abiding citizens actually e…
3_synonym_pairs,2,8,pro,con,pro-con,0.7093,2.3779,Gun ownership rights are essential for safeguarding personal…,"When lawful citizens carry firearms responsibly, it improves…"
3_synonym_pairs,2,9,pro,con,pro-con,0.6472,1.6491,Gun ownership rights are essential for safeguarding personal…,Firearms serve important practical purposes for many America…
3_synonym_pairs,2,10,pro,con,pro-con,0.6404,1.6187,Gun ownership rights are essential for safeguarding personal…,Guns have legitimate utilitarian functions in American socie…
3_synonym_pairs,3,4,pro,pro,pro-pro,0.9351,4.294,"Individuals have an inherent right to defend themselves, the…","People possess a natural right to protect themselves, their …"
3_synonym_pairs,3,5,pro,pro,pro-pro,0.7862,2.9652,"Individuals have an inherent right to defend themselves, the…",The Second Amendment to the Constitution explicitly guarante…
3_synonym_pairs,3,6,pro,con,pro-con,0.8058,3.1625,"Individuals have an inherent right to defend themselves, the…",Gun ownership is constitutionally protected under the Second…
3_synonym_pairs,3,7,pro,con,pro-con,0.7688,2.8565,"Individuals have an inherent right to defend themselves, the…",Responsible gun ownership by law-abiding citizens actually e…
3_synonym_pairs,3,8,pro,con,pro-con,0.7817,2.9652,"Individuals have an inherent right to defend themselves, the…","When lawful citizens carry firearms responsibly, it improves…"
3_synonym_pairs,3,9,pro,con,pro-con,0.7162,2.3779,"Individuals have an inherent right to defend themselves, the…",Firearms serve important practical purposes for many America…
3_synonym_pairs,3,10,pro,con,pro-con,0.7028,2.1415,"Individuals have an inherent right to defend themselves, the…",Guns have legitimate utilitarian functions in American socie…
3_synonym_pairs,4,5,pro,pro,pro-pro,0.7765,2.8565,"People possess a natural right to protect themselves, their …",The Second Amendment to the Constitution explicitly guarante…
3_synonym_pairs,4,6,pro,con,pro-con,0.7816,2.9652,"People possess a natural right to protect themselves, their …",Gun ownership is constitutionally protected under the Second…
3_synonym_pairs,4,7,pro,con,pro-con,0.7886,2.9652,"People possess a natural right to protect themselves, their …",Responsible gun ownership by law-abiding citizens actually e…
3_synonym_pairs,4,8,pro,con,pro-con,0.7801,2.9123,"People possess a natural right to protect themselves, their …","When lawful citizens carry firearms responsibly, it improves…"
3_synonym_pairs,4,9,pro,con,pro-con,0.7358,2.5534,"People possess a natural right to protect themselves, their …",Firearms serve important practical purposes for many America…
3_synonym_pairs,4,10,pro,con,pro-con,0.7395,2.6573,"People possess a natural right to protect themselves, their …",Guns have legitimate utilitarian functions in American socie…
3_synonym_pairs,5,6,pro,con,pro-con,0.943,4.294,The Second Amendment to the Constitution explicitly guarante…,Gun ownership is constitutionally protected under the Second…
3_synonym_pairs,5,7,pro,con,pro-con,0.7011,2.1415,The Second Amendment to the Constitution explicitly guarante…,Responsible gun ownership by law-abiding citizens actually e…
3_synonym_pairs,5,8,pro,con,pro-con,0.6614,1.6491,The Second Amendment to the Constitution explicitly guarante…,"When lawful citizens carry firearms responsibly, it improves…"
3_synonym_pairs,5,9,pro,con,pro-con,0.6836,2.1415,The Second Amendment to the Constitution explicitly guarante…,Firearms serve important practical purposes for many America…
3_synonym_pairs,5,10,pro,con,pro-con,0.6975,2.1415,The Second Amendment to the Constitution explicitly guarante…,Guns have legitimate utilitarian functions in American socie…
3_synonym_pairs,6,7,con,con,con-con,0.6893,2.1415,Gun ownership is constitutionally protected under the Second…,Responsible gun ownership by law-abiding citizens actually e…
3_synonym_pairs,6,8,con,con,con-con,0.6445,1.6491,Gun ownership is constitutionally protected under the Second…,"When lawful citizens carry firearms responsibly, it improves…"
3_synonym_pairs,6,9,con,con,con-con,0.6958,2.1415,Gun ownership is constitutionally protected under the Second…,Firearms serve important practical purposes for many America…
3_synonym_pairs,6,10,con,con,con-con,0.7172,2.3779,Gun ownership is constitutionally protected under the Second…,Guns have legitimate utilitarian functions in American socie…
3_synonym_pairs,7,8,con,con,con-con,0.8719,3.538,Responsible gun ownership by law-abiding citizens actually e…,"When lawful citizens carry firearms responsibly, it improves…"
3_synonym_pairs,7,9,con,con,con-con,0.669,1.6491,Responsible gun ownership by law-abiding citizens actually e…,Firearms serve important practical purposes for many America…
3_synonym_pairs,7,10,con,con,con-con,0.6878,2.1415,Responsible gun ownership by law-abiding citizens actually e…,Guns have legitimate utilitarian functions in American socie…
3_synonym_pairs,8,9,con,con,con-con,0.6707,1.672,"When lawful citizens carry firearms responsibly, it improves…",Firearms serve important practical purposes for many America…
3_synonym_pairs,8,10,con,con,con-con,0.6744,1.6947,"When lawful citizens carry firearms responsibly, it improves…",Guns have legitimate utilitarian functions in American socie…
3_synonym_pairs,9,10,con,con,con-con,0.8921,3.6631,Firearms serve important practical purposes for many America…,Guns have legitimate utilitarian functions in American socie…
4_synonym_by_stance,1,2,pro,pro,pro-pro,0.869,3.538,Citizens must retain the ability to defend themselves agains…,The populace needs to maintain the means to resist authorita…
4_synonym_by_stance,1,3,pro,pro,pro-pro,0.8406,3.4176,Citizens must retain the ability to defend themselves agains…,People should preserve their capacity to protect themselves …
4_synonym_by_stance,1,4,pro,pro,pro-pro,0.8759,3.5727,Citizens must retain the ability to defend themselves agains…,Individuals require the power to safeguard their freedoms ag…
4_synonym_by_stance,1,5,pro,pro,pro-pro,0.8168,3.2111,Citizens must retain the ability to defend themselves agains…,The public must possess the tools necessary to counter any f…
4_synonym_by_stance,1,6,pro,con,pro-con,0.5637,0.9855,Citizens must retain the ability to defend themselves agains…,Widespread civilian access to firearms significantly increas…
4_synonym_by_stance,1,7,pro,con,pro-con,0.5747,1.3351,Citizens must retain the ability to defend themselves agains…,"When ordinary people can easily obtain guns, it substantiall…"
4_synonym_by_stance,1,8,pro,con,pro-con,0.5669,0.9855,Citizens must retain the ability to defend themselves agains…,Broad public availability of weapons creates a much higher r…
4_synonym_by_stance,1,9,pro,con,pro-con,0.6049,1.4614,Citizens must retain the ability to defend themselves agains…,Easy civilian access to firearms dramatically elevates the c…
4_synonym_by_stance,1,10,pro,con,pro-con,0.6216,1.4833,Citizens must retain the ability to defend themselves agains…,"When guns are readily accessible to citizens, it greatly amp…"
4_synonym_by_stance,2,3,pro,pro,pro-pro,0.8022,3.1625,The populace needs to maintain the means to resist authorita…,People should preserve their capacity to protect themselves …
4_synonym_by_stance,2,4,pro,pro,pro-pro,0.7781,2.8565,The populace needs to maintain the means to resist authorita…,Individuals require the power to safeguard their freedoms ag…
4_synonym_by_stance,2,5,pro,pro,pro-pro,0.8357,3.4176,The populace needs to maintain the means to resist authorita…,The public must possess the tools necessary to counter any f…
4_synonym_by_stance,2,6,pro,con,pro-con,0.534,0.9472,The populace needs to maintain the means to resist authorita…,Widespread civilian access to firearms significantly increas…
4_synonym_by_stance,2,7,pro,con,pro-con,0.5369,0.9472,The populace needs to maintain the means to resist authorita…,"When ordinary people can easily obtain guns, it substantiall…"
4_synonym_by_stance,2,8,pro,con,pro-con,0.5812,1.3351,The populace needs to maintain the means to resist authorita…,Broad public availability of weapons creates a much higher r…
4_synonym_by_stance,2,9,pro,con,pro-con,0.5177,0.8729,The populace needs to maintain the means to resist authorita…,Easy civilian access to firearms dramatically elevates the c…
4_synonym_by_stance,2,10,pro,con,pro-con,0.5613,0.9855,The populace needs to maintain the means to resist authorita…,"When guns are readily accessible to citizens, it greatly amp…"
4_synonym_by_stance,3,4,pro,pro,pro-pro,0.8039,3.1625,People should preserve their capacity to protect themselves …,Individuals require the power to safeguard their freedoms ag…
4_synonym_by_stance,3,5,pro,pro,pro-pro,0.7402,2.6573,People should preserve their capacity to protect themselves …,The public must possess the tools necessary to counter any f…
4_synonym_by_stance,3,6,pro,con,pro-con,0.5029,0.8729,People should preserve their capacity to protect themselves …,Widespread civilian access to firearms significantly increas…
4_synonym_by_stance,3,7,pro,con,pro-con,0.5566,0.9855,People should preserve their capacity to protect themselves …,"When ordinary people can easily obtain guns, it substantiall…"
4_synonym_by_stance,3,8,pro,con,pro-con,0.542,0.9472,People should preserve their capacity to protect themselves …,Broad public availability of weapons creates a much higher r…
4_synonym_by_stance,3,9,pro,con,pro-con,0.563,0.9855,People should preserve their capacity to protect themselves …,Easy civilian access to firearms dramatically elevates the c…
4_synonym_by_stance,3,10,pro,con,pro-con,0.5735,1.3351,People should preserve their capacity to protect themselves …,"When guns are readily accessible to citizens, it greatly amp…"
4_synonym_by_stance,4,5,pro,pro,pro-pro,0.7875,2.9652,Individuals require the power to safeguard their freedoms ag…,The public must possess the tools necessary to counter any f…
4_synonym_by_stance,4,6,pro,con,pro-con,0.5148,0.8729,Individuals require the power to safeguard their freedoms ag…,Widespread civilian access to firearms significantly increas…
4_synonym_by_stance,4,7,pro,con,pro-con,0.5655,0.9855,Individuals require the power to safeguard their freedoms ag…,"When ordinary people can easily obtain guns, it substantiall…"
4_synonym_by_stance,4,8,pro,con,pro-con,0.5452,0.9472,Individuals require the power to safeguard their freedoms ag…,Broad public availability of weapons creates a much higher r…
4_synonym_by_stance,4,9,pro,con,pro-con,0.5967,1.4614,Individuals require the power to safeguard their freedoms ag…,Easy civilian access to firearms dramatically elevates the c…
4_synonym_by_stance,4,10,pro,con,pro-con,0.5912,1.3351,Individuals require the power to safeguard their freedoms ag…,"When guns are readily accessible to citizens, it greatly amp…"
4_synonym_by_stance,5,6,pro,con,pro-con,0.5149,0.8729,The public must possess the tools necessary to counter any f…,Widespread civilian access to firearms significantly increas…
4_synonym_by_stance,5,7,pro,con,pro-con,0.5475,0.9855,The public must possess the tools necessary to counter any f…,"When ordinary people can easily obtain guns, it substantiall…"
4_synonym_by_stance,5,8,pro,con,pro-con,0.5772,1.3351,The public must possess the tools necessary to counter any f…,Broad public availability of weapons creates a much higher r…
4_synonym_by_stance,5,9,pro,con,pro-con,0.5307,0.8729,The public must possess the tools necessary to counter any f…,Easy civilian access to firearms dramatically elevates the c…
4_synonym_by_stance,5,10,pro,con,pro-con,0.5562,0.9855,The public must possess the tools necessary to counter any f…,"When guns are readily accessible to citizens, it greatly amp…"
4_synonym_by_stance,6,7,con,con,con-con,0.823,3.2111,Widespread civilian access to firearms significantly increas…,"When ordinary people can easily obtain guns, it substantiall…"
4_synonym_by_stance,6,8,con,con,con-con,0.8414,3.4176,Widespread civilian access to firearms significantly increas…,Broad public availability of weapons creates a much higher r…
4_synonym_by_stance,6,9,con,con,con-con,0.8435,3.4176,Widespread civilian access to firearms significantly increas…,Easy civilian access to firearms dramatically elevates the c…
4_synonym_by_stance,6,10,con,con,con-con,0.8268,3.4,Widespread civilian access to firearms significantly increas…,"When guns are readily accessible to citizens, it greatly amp…"
4_synonym_by_stance,7,8,con,con,con-con,0.7865,2.9652,"When ordinary people can easily obtain guns, it substantiall…",Broad public availability of weapons creates a much higher r…
4_synonym_by_stance,7,9,con,con,con-con,0.874,3.5727,"When ordinary people can easily obtain guns, it substantiall…",Easy civilian access to firearms dramatically elevates the c…
4_synonym_by_stance,7,10,con,con,con-con,0.8545,3.4583,"When ordinary people can easily obtain guns, it substantiall…","When guns are readily accessible to citizens, it greatly amp…"
4_synonym_by_stance,8,9,con,con,con-con,0.7946,2.9762,Broad public availability of weapons creates a much higher r…,Easy civilian access to firearms dramatically elevates the c…
4_synonym_by_stance,8,10,con,con,con-con,0.8023,3.1625,Broad public availability of weapons creates a much higher r…,"When guns are readily accessible to citizens, it greatly amp…"
4_synonym_by_stance,9,10,con,con,con-con,0.8848,3.5759,Easy civilian access to firearms dramatically elevates the c…,"When guns are readily accessible to citizens, it greatly amp…"
