,model_argument,received_argument,type,verdict
353,1,7,unknown,0
354,1,8,human,0
355,1,8,llm,0
356,1,8,unknown,0
357,1,9,human,0
358,1,9,llm,0
359,1,9,unknown,0
360,2,0,human,1
361,2,0,llm,1
362,2,0,unknown,1
363,2,1,human,1
364,2,1,llm,1
365,2,1,unknown,1
366,2,2,human,1
367,2,2,llm,1
368,2,2,unknown,1
369,2,3,human,1
370,2,3,llm,1
371,2,3,unknown,1
372,2,4,human,1
373,2,4,llm,1
374,2,4,unknown,1
375,2,5,human,0
376,2,5,llm,0
377,2,5,unknown,0
378,2,6,human,0
379,2,6,llm,0
380,2,6,unknown,0
381,2,7,human,0
382,2,7,llm,0
383,2,7,unknown,0
384,2,8,human,0
385,2,8,llm,0
386,2,8,unknown,0
387,2,9,human,0
388,2,9,llm,0
389,2,9,unknown,0
390,3,0,human,1
391,3,0,llm,1
392,3,0,unknown,1
393,3,1,human,1
394,3,1,llm,1
395,3,1,unknown,1
396,3,2,human,1
397,3,2,llm,1
398,3,2,unknown,1
399,3,3,human,1
400,3,3,llm,1
401,3,3,unknown,1
402,3,4,human,1
403,3,4,llm,1
404,3,4,unknown,1
405,3,5,human,0
406,3,5,llm,0
407,3,5,unknown,0
408,3,6,human,1
409,3,6,llm,1
410,3,6,unknown,0
411,3,7,human,0
412,3,7,llm,1
413,3,7,unknown,0
414,3,8,human,0
415,3,8,llm,0
416,3,8,unknown,0
417,3,9,human,0
418,3,9,llm,0
419,3,9,unknown,0
420,4,0,human,1
421,4,0,llm,1
422,4,0,unknown,1
423,4,1,human,1
424,4,1,llm,1
425,4,1,unknown,1
426,4,2,human,1
427,4,2,llm,1
428,4,2,unknown,1
429,4,3,human,1
430,4,3,llm,1
431,4,3,unknown,1
432,4,4,human,1
433,4,4,llm,1
434,4,4,unknown,1
435,4,5,human,0
436,4,5,llm,0
437,4,5,unknown,0
438,4,6,human,0
439,4,6,llm,0
440,4,6,unknown,0
441,4,7,human,0
442,4,7,llm,0
443,4,7,unknown,0
444,4,8,human,0
445,4,8,llm,0
446,4,8,unknown,0
447,4,9,human,0
448,4,9,llm,0
449,4,9,unknown,0
450,5,0,human,0
451,5,0,llm,0
452,5,0,unknown,0
453,5,1,human,0
454,5,1,llm,0
455,5,1,unknown,0
456,5,2,human,0
457,5,2,llm,0
458,5,2,unknown,0
459,5,3,human,1
460,5,3,llm,1
461,5,3,unknown,1
462,5,4,human,0
463,5,4,llm,0
464,5,4,unknown,1
465,5,5,human,1
466,5,5,llm,1
467,5,5,unknown,1
468,5,6,human,1
469,5,6,llm,1
470,5,6,unknown,1
471,5,7,human,1
472,5,7,llm,1
473,5,7,unknown,1
474,5,8,human,1
475,5,8,llm,1
476,5,8,unknown,1
477,5,9,human,1
478,5,9,llm,1
479,5,9,unknown,1
480,6,0,human,0
481,6,0,llm,0
482,6,0,unknown,0
483,6,1,human,0
484,6,1,llm,0
485,6,1,unknown,0
486,6,2,human,0
487,6,2,llm,0
488,6,2,unknown,0
489,6,3,human,0
490,6,3,llm,0
491,6,3,unknown,0
492,6,4,human,0
493,6,4,llm,0
494,6,4,unknown,0
495,6,5,human,1
496,6,5,llm,1
497,6,5,unknown,1
498,6,6,human,1
499,6,6,llm,1
500,6,6,unknown,1
501,6,7,human,1
502,6,7,llm,1
503,6,7,unknown,1
504,6,8,human,1
505,6,8,llm,1
506,6,8,unknown,1
507,6,9,human,1
508,6,9,llm,1
509,6,9,unknown,1
510,7,0,human,0
511,7,0,llm,0
512,7,0,unknown,0
513,7,1,human,0
514,7,1,llm,0
515,7,1,unknown,0
516,7,2,human,0
517,7,2,llm,0
518,7,2,unknown,0
519,7,3,human,1
520,7,3,llm,1
521,7,3,unknown,1
522,7,4,human,1
523,7,4,llm,1
524,7,4,unknown,1
525,7,5,human,1
526,7,5,llm,1
527,7,5,unknown,1
528,7,6,human,1
529,7,6,llm,1
530,7,6,unknown,1
531,7,7,human,1
532,7,7,llm,1
533,7,7,unknown,1
534,7,8,human,1
535,7,8,llm,1
536,7,8,unknown,1
537,7,9,human,1
538,7,9,llm,1
539,7,9,unknown,1
540,8,0,human,0
541,8,0,llm,0
542,8,0,unknown,0
543,8,1,human,0
544,8,1,llm,0
545,8,1,unknown,0
546,8,2,human,0
547,8,2,llm,0
548,8,2,unknown,0
549,8,3,human,0
550,8,3,llm,1
551,8,3,unknown,0
552,8,4,human,0
553,8,4,llm,0
554,8,4,unknown,0
555,8,5,human,1
556,8,5,llm,1
557,8,5,unknown,1
558,8,6,human,1
559,8,6,llm,1
560,8,6,unknown,1
561,8,7,human,1
562,8,7,llm,1
563,8,7,unknown,1
564,8,8,human,1
565,8,8,llm,1
566,8,8,unknown,1
567,8,9,human,1
568,8,9,llm,1
569,8,9,unknown,1
570,9,0,human,0
571,9,0,llm,0
572,9,0,unknown,0
573,9,1,human,0
574,9,1,llm,0
575,9,1,unknown,0
576,9,2,human,0
577,9,2,llm,0
578,9,2,unknown,0
579,9,3,human,1
580,9,3,llm,1
581,9,3,unknown,1
582,9,4,human,0
583,9,4,llm,0
584,9,4,unknown,0
585,9,5,human,1
586,9,5,llm,1
587,9,5,unknown,1
588,9,6,human,1
589,9,6,llm,1
590,9,6,unknown,1
591,9,7,human,1
592,9,7,llm,1
593,9,7,unknown,1
594,9,8,human,1
595,9,8,llm,1
596,9,8,unknown,1
597,9,9,human,1
598,9,9,llm,1
599,9,9,unknown,1
600,0,0,human,1
601,0,0,llm,1
602,0,0,unknown,1
603,0,1,human,1
604,0,1,llm,1
605,0,1,unknown,1
606,0,2,human,1
607,0,2,llm,1
608,0,2,unknown,1
609,0,3,human,1
610,0,3,llm,1
611,0,3,unknown,1
612,0,4,human,1
613,0,4,llm,1
614,0,4,unknown,1
615,0,5,human,0
616,0,5,llm,0
617,0,5,unknown,0
618,0,6,human,0
619,0,6,llm,0
620,0,6,unknown,0
621,0,7,human,0
622,0,7,llm,0
623,0,7,unknown,0
624,0,8,human,0
625,0,8,llm,0
626,0,8,unknown,0
627,0,9,human,0
628,0,9,llm,0
629,0,9,unknown,0
630,1,0,human,1
631,1,0,llm,1
632,1,0,unknown,1
633,1,1,human,1
634,1,1,llm,1
635,1,1,unknown,1
636,1,2,human,1
637,1,2,llm,1
638,1,2,unknown,1
639,1,3,human,1
640,1,3,llm,1
641,1,3,unknown,1
642,1,4,human,1
643,1,4,llm,1
644,1,4,unknown,1
645,1,5,human,0
646,1,5,llm,0
647,1,5,unknown,0
648,1,6,human,0
649,1,6,llm,0
650,1,6,unknown,0
651,1,7,human,0
652,1,7,llm,0
653,1,7,unknown,0
654,1,8,human,0
655,1,8,llm,0
656,1,8,unknown,0
657,1,9,human,0
658,1,9,llm,0
659,1,9,unknown,0
660,2,0,human,1
661,2,0,llm,1
662,2,0,unknown,1
663,2,1,human,1
664,2,1,llm,1
665,2,1,unknown,1
666,2,2,human,1
667,2,2,llm,1
668,2,2,unknown,1
669,2,3,human,1
670,2,3,llm,1
671,2,3,unknown,1
672,2,4,human,1
673,2,4,llm,1
674,2,4,unknown,1
675,2,5,human,0
676,2,5,llm,0
677,2,5,unknown,0
678,2,6,human,0
679,2,6,llm,0
680,2,6,unknown,0
681,2,7,human,0
682,2,7,llm,0
683,2,7,unknown,0
684,2,8,human,0
685,2,8,llm,0
686,2,8,unknown,0
687,2,9,human,0
688,2,9,llm,0
689,2,9,unknown,0
690,3,0,human,1
691,3,0,llm,1
692,3,0,unknown,1
693,3,1,human,1
694,3,1,llm,1
695,3,1,unknown,1
696,3,2,human,1
697,3,2,llm,1
698,3,2,unknown,1
699,3,3,human,1
700,3,3,llm,1
701,3,3,unknown,1
702,3,4,human,1
703,3,4,llm,1
704,3,4,unknown,1
705,3,5,human,0
706,3,5,llm,0
707,3,5,unknown,0
708,3,6,human,1
709,3,6,llm,0
710,3,6,unknown,0
711,3,7,human,1
712,3,7,llm,0
713,3,7,unknown,0
714,3,8,human,1
715,3,8,llm,0
716,3,8,unknown,0
717,3,9,human,0
718,3,9,llm,0
719,3,9,unknown,0
720,4,0,human,1
721,4,0,llm,1
722,4,0,unknown,1
723,4,1,human,1
724,4,1,llm,1
725,4,1,unknown,1
726,4,2,human,1
727,4,2,llm,1
728,4,2,unknown,1
729,4,3,human,1
730,4,3,llm,1
731,4,3,unknown,1
732,4,4,human,1
733,4,4,llm,1
734,4,4,unknown,1
735,4,5,human,0
736,4,5,llm,0
737,4,5,unknown,0
738,4,6,human,0
739,4,6,llm,0
740,4,6,unknown,0
741,4,7,human,0
742,4,7,llm,1
743,4,7,unknown,0
744,4,8,human,0
745,4,8,llm,0
746,4,8,unknown,0
747,4,9,human,0
748,4,9,llm,0
749,4,9,unknown,0
750,5,0,human,0
751,5,0,llm,0
752,5,0,unknown,0
753,5,1,human,0
754,5,1,llm,0
755,5,1,unknown,0
756,5,2,human,0
757,5,2,llm,0
758,5,2,unknown,0
759,5,3,human,1
760,5,3,llm,1
761,5,3,unknown,1
762,5,4,human,0
763,5,4,llm,0
764,5,4,unknown,0
765,5,5,human,1
766,5,5,llm,1
767,5,5,unknown,1
768,5,6,human,1
769,5,6,llm,1
770,5,6,unknown,1
771,5,7,human,1
772,5,7,llm,1
773,5,7,unknown,1
774,5,8,human,1
775,5,8,llm,1
776,5,8,unknown,1
777,5,9,human,1
778,5,9,llm,1
779,5,9,unknown,1
780,6,0,human,0
781,6,0,llm,0
782,6,0,unknown,0
783,6,1,human,0
784,6,1,llm,0
785,6,1,unknown,0
786,6,2,human,0
787,6,2,llm,0
788,6,2,unknown,0
789,6,3,human,1
790,6,3,llm,1
791,6,3,unknown,1
792,6,4,human,0
793,6,4,llm,0
794,6,4,unknown,0
795,6,5,human,1
796,6,5,llm,1
797,6,5,unknown,1
798,6,6,human,1
799,6,6,llm,1
800,6,6,unknown,1
801,6,7,human,1
802,6,7,llm,1
803,6,7,unknown,1
804,6,8,human,1
805,6,8,llm,1
806,6,8,unknown,1
807,6,9,human,1
808,6,9,llm,1
809,6,9,unknown,1
810,7,0,human,0
811,7,0,llm,0
812,7,0,unknown,0
813,7,1,human,0
814,7,1,llm,0
815,7,1,unknown,0
816,7,2,human,0
817,7,2,llm,0
818,7,2,unknown,0
819,7,3,human,1
820,7,3,llm,1
821,7,3,unknown,1
822,7,4,human,1
823,7,4,llm,0
824,7,4,unknown,1
825,7,5,human,1
826,7,5,llm,1
827,7,5,unknown,1
828,7,6,human,1
829,7,6,llm,1
830,7,6,unknown,1
831,7,7,human,1
832,7,7,llm,1
833,7,7,unknown,1
834,7,8,human,1
835,7,8,llm,1
836,7,8,unknown,1
837,7,9,human,1
838,7,9,llm,1
839,7,9,unknown,1
840,8,0,human,0
841,8,0,llm,0
842,8,0,unknown,0
843,8,1,human,0
844,8,1,llm,0
845,8,1,unknown,0
846,8,2,human,0
847,8,2,llm,0
848,8,2,unknown,0
849,8,3,human,1
850,8,3,llm,1
851,8,3,unknown,1
852,8,4,human,0
853,8,4,llm,0
854,8,4,unknown,1
855,8,5,human,1
856,8,5,llm,1
857,8,5,unknown,1
858,8,6,human,1
859,8,6,llm,1
860,8,6,unknown,1
861,8,7,human,1
862,8,7,llm,1
863,8,7,unknown,1
864,8,8,human,1
865,8,8,llm,1
866,8,8,unknown,1
867,8,9,human,1
868,8,9,llm,1
869,8,9,unknown,1
870,9,0,human,0
871,9,0,llm,0
872,9,0,unknown,0
873,9,1,human,0
874,9,1,llm,0
875,9,1,unknown,0
876,9,2,human,0
877,9,2,llm,0
878,9,2,unknown,0
879,9,3,human,1
880,9,3,llm,1
881,9,3,unknown,0
882,9,4,human,0
883,9,4,llm,0
884,9,4,unknown,0
885,9,5,human,1
886,9,5,llm,1
887,9,5,unknown,1
888,9,6,human,1
889,9,6,llm,1
890,9,6,unknown,1
891,9,7,human,1
892,9,7,llm,1
893,9,7,unknown,1
894,9,8,human,1
895,9,8,llm,1
896,9,8,unknown,1
897,9,9,human,1
898,9,9,llm,1
899,9,9,unknown,1
900,0,0,human,1
901,0,0,llm,1
902,0,0,unknown,1
903,0,1,human,1
904,0,1,llm,1
905,0,1,unknown,1
906,0,2,human,1
907,0,2,llm,1
908,0,2,unknown,1
909,0,3,human,1
910,0,3,llm,1
911,0,3,unknown,1
912,0,4,human,1
913,0,4,llm,1
914,0,4,unknown,1
915,0,5,human,0
916,0,5,llm,0
917,0,5,unknown,0
918,0,6,human,0
919,0,6,llm,0
920,0,6,unknown,0
921,0,7,human,0
922,0,7,llm,0
923,0,7,unknown,0
924,0,8,human,0
925,0,8,llm,0
926,0,8,unknown,0
927,0,9,human,0
928,0,9,llm,0
929,0,9,unknown,0
930,1,0,human,1
931,1,0,llm,1
932,1,0,unknown,1
933,1,1,human,1
934,1,1,llm,1
935,1,1,unknown,1
936,1,2,human,1
937,1,2,llm,1
938,1,2,unknown,1
939,1,3,human,1
940,1,3,llm,1
941,1,3,unknown,1
942,1,4,human,1
943,1,4,llm,1
944,1,4,unknown,1
945,1,5,human,0
946,1,5,llm,0
947,1,5,unknown,0
948,1,6,human,0
949,1,6,llm,0
950,1,6,unknown,0
951,1,7,human,0
952,1,7,llm,0
953,1,7,unknown,0
954,1,8,human,0
955,1,8,llm,0
956,1,8,unknown,0
957,1,9,human,0
958,1,9,llm,0
959,1,9,unknown,0
960,2,0,human,1
961,2,0,llm,1
962,2,0,unknown,1
963,2,1,human,1
964,2,1,llm,1
965,2,1,unknown,1
966,2,2,human,1
967,2,2,llm,1
968,2,2,unknown,1
969,2,3,human,1
970,2,3,llm,1
971,2,3,unknown,1
972,2,4,human,1
973,2,4,llm,1
974,2,4,unknown,1
975,2,5,human,0
976,2,5,llm,0
977,2,5,unknown,0
978,2,6,human,0
979,2,6,llm,0
980,2,6,unknown,0
981,2,7,human,0
982,2,7,llm,0
983,2,7,unknown,0
984,2,8,human,0
985,2,8,llm,0
986,2,8,unknown,0
987,2,9,human,0
988,2,9,llm,0
989,2,9,unknown,0
990,3,0,human,1
991,3,0,llm,1
992,3,0,unknown,1
993,3,1,human,1
994,3,1,llm,1
995,3,1,unknown,1
996,3,2,human,1
997,3,2,llm,1
998,3,2,unknown,1
999,3,3,human,1
1000,3,3,llm,1
1001,3,3,unknown,1
1002,3,4,human,1
1003,3,4,llm,1
1004,3,4,unknown,1
1005,3,5,human,0
1006,3,5,llm,0
1007,3,5,unknown,0
1008,3,6,human,0
1009,3,6,llm,0
1010,3,6,unknown,0
1011,3,7,human,1
1012,3,7,llm,0
1013,3,7,unknown,1
1014,3,8,human,0
1015,3,8,llm,0
1016,3,8,unknown,0
1017,3,9,human,0
1018,3,9,llm,0
1019,3,9,unknown,0
1020,4,0,human,1
1021,4,0,llm,1
1022,4,0,unknown,1
1023,4,1,human,1
1024,4,1,llm,1
1025,4,1,unknown,1
1026,4,2,human,1
1027,4,2,llm,1
1028,4,2,unknown,1
1029,4,3,human,1
1030,4,3,llm,1
1031,4,3,unknown,1
1032,4,4,human,1
1033,4,4,llm,1
1034,4,4,unknown,1
1035,4,5,human,0
1036,4,5,llm,0
1037,4,5,unknown,0
1038,4,6,human,0
1039,4,6,llm,0
1040,4,6,unknown,0
1041,4,7,human,0
1042,4,7,llm,0
1043,4,7,unknown,0
1044,4,8,human,0
1045,4,8,llm,0
1046,4,8,unknown,0
1047,4,9,human,0
1048,4,9,llm,0
1049,4,9,unknown,0
1050,5,0,human,0
1051,5,0,llm,0
1052,5,0,unknown,0
1053,5,1,human,0
1054,5,1,llm,0
1055,5,1,unknown,0
1056,5,2,human,0
1057,5,2,llm,0
1058,5,2,unknown,0
1059,5,3,human,1
1060,5,3,llm,1
1061,5,3,unknown,1
1062,5,4,human,0
1063,5,4,llm,0
1064,5,4,unknown,0
1065,5,5,human,1
1066,5,5,llm,1
1067,5,5,unknown,1
1068,5,6,human,1
1069,5,6,llm,1
1070,5,6,unknown,1
1071,5,7,human,1
1072,5,7,llm,1
1073,5,7,unknown,1
1074,5,8,human,1
1075,5,8,llm,1
1076,5,8,unknown,1
1077,5,9,human,1
1078,5,9,llm,1
1079,5,9,unknown,1
1080,6,0,human,0
1081,6,0,llm,0
1082,6,0,unknown,0
1083,6,1,human,0
1084,6,1,llm,0
1085,6,1,unknown,0
1086,6,2,human,0
1087,6,2,llm,0
1088,6,2,unknown,0
1089,6,3,human,1
1090,6,3,llm,1
1091,6,3,unknown,0
1092,6,4,human,0
1093,6,4,llm,0
1094,6,4,unknown,0
1095,6,5,human,1
1096,6,5,llm,1
1097,6,5,unknown,1
1098,6,6,human,1
1099,6,6,llm,1
1100,6,6,unknown,1
1101,6,7,human,1
1102,6,7,llm,1
1103,6,7,unknown,1
1104,6,8,human,1
1105,6,8,llm,1
1106,6,8,unknown,1
1107,6,9,human,1
1108,6,9,llm,1
1109,6,9,unknown,1
1110,7,0,human,0
1111,7,0,llm,0
1112,7,0,unknown,0
1113,7,1,human,0
1114,7,1,llm,0
1115,7,1,unknown,0
1116,7,2,human,0
1117,7,2,llm,0
1118,7,2,unknown,0
1119,7,3,human,1
1120,7,3,llm,1
1121,7,3,unknown,1
1122,7,4,human,0
1123,7,4,llm,0
1124,7,4,unknown,1
1125,7,5,human,1
1126,7,5,llm,1
1127,7,5,unknown,1
1128,7,6,human,1
1129,7,6,llm,1
1130,7,6,unknown,1
1131,7,7,human,1
1132,7,7,llm,1
1133,7,7,unknown,1
1134,7,8,human,1
1135,7,8,llm,1
1136,7,8,unknown,1
1137,7,9,human,1
1138,7,9,llm,1
1139,7,9,unknown,1
1140,8,0,human,0
1141,8,0,llm,0
1142,8,0,unknown,0
1143,8,1,human,0
1144,8,1,llm,0
1145,8,1,unknown,0
1146,8,2,human,0
1147,8,2,llm,0
1148,8,2,unknown,0
1149,8,3,human,0
1150,8,3,llm,1
1151,8,3,unknown,0
1152,8,4,human,0
1153,8,4,llm,0
1154,8,4,unknown,0
1155,8,5,human,1
1156,8,5,llm,1
1157,8,5,unknown,1
1158,8,6,human,1
1159,8,6,llm,1
1160,8,6,unknown,1
1161,8,7,human,1
1162,8,7,llm,1
1163,8,7,unknown,1
1164,8,8,human,1
1165,8,8,llm,1
1166,8,8,unknown,1
1167,8,9,human,1
1168,8,9,llm,1
1169,8,9,unknown,1
1170,9,0,human,0
1171,9,0,llm,0
1172,9,0,unknown,0
1173,9,1,human,0
1174,9,1,llm,0
1175,9,1,unknown,0
1176,9,2,human,0
1177,9,2,llm,0
1178,9,2,unknown,0
1179,9,3,human,1
1180,9,3,llm,1
1181,9,3,unknown,0
1182,9,4,human,0
1183,9,4,llm,1
1184,9,4,unknown,0
1185,9,5,human,1
1186,9,5,llm,1
1187,9,5,unknown,1
1188,9,6,human,1
1189,9,6,llm,1
1190,9,6,unknown,1
1191,9,7,human,1
1192,9,7,llm,1
1193,9,7,unknown,1
1194,9,8,human,1
1195,9,8,llm,1
1196,9,8,unknown,1
1197,9,9,human,1
1198,9,9,llm,1
1199,9,9,unknown,1
1200,0,0,human,1
1201,0,0,llm,1
1202,0,0,unknown,1
1203,0,1,human,1
1204,0,1,llm,1
1205,0,1,unknown,1
1206,0,2,human,1
1207,0,2,llm,1
1208,0,2,unknown,1
1209,0,3,human,1
1210,0,3,llm,1
1211,0,3,unknown,1
1212,0,4,human,1
1213,0,4,llm,1
1214,0,4,unknown,1
1215,0,5,human,0
1216,0,5,llm,0
1217,0,5,unknown,0
1218,0,6,human,0
1219,0,6,llm,0
1220,0,6,unknown,0
1221,0,7,human,0
1222,0,7,llm,1
1223,0,7,unknown,0
1224,0,8,human,0
1225,0,8,llm,0
1226,0,8,unknown,0
1227,0,9,human,0
1228,0,9,llm,0
1229,0,9,unknown,0
1230,1,0,human,1
1231,1,0,llm,1
1232,1,0,unknown,1
1233,1,1,human,1
1234,1,1,llm,1
1235,1,1,unknown,1
1236,1,2,human,1
1237,1,2,llm,1
1238,1,2,unknown,1
1239,1,3,human,1
1240,1,3,llm,1
1241,1,3,unknown,1
1242,1,4,human,1
1243,1,4,llm,1
1244,1,4,unknown,1
1245,1,5,human,0
1246,1,5,llm,0
