table,key,side,trial,opinion
T4,"((0, 1, 2, 3), (6, 7, 8, 9))",pc,27,5
T4,"((0, 1, 2, 3), (6, 7, 8, 9))",pc,28,5
T4,"((0, 1, 2, 3), (6, 7, 8, 9))",pc,29,5
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,0,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,1,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,2,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,3,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,4,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,5,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,6,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,7,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,8,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,9,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,10,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,11,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,12,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,13,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,14,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,15,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,16,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,17,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,18,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,19,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,20,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,21,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,22,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,23,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,24,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,25,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,26,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,27,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,28,4
T4,"((0, 1, 2, 4), (5, 6, 7, 8))",pc,29,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,0,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,1,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,2,5
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,3,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,4,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,5,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,6,5
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,7,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,8,5
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,9,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,10,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,11,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,12,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,13,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,14,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,15,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,16,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,17,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,18,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,19,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,20,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,21,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,22,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,23,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,24,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,25,5
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,26,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,27,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,28,4
T4,"((0, 1, 2, 4), (5, 6, 7, 9))",pc,29,4
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,0,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,1,4
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,2,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,3,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,4,4
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,5,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,6,4
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,7,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,8,4
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,9,4
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,10,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,11,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,12,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,13,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,14,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,15,4
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,16,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,17,4
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,18,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,19,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,20,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,21,4
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,22,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,23,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,24,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,25,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,26,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,27,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,28,5
T4,"((0, 1, 2, 4), (5, 6, 8, 9))",pc,29,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,0,5
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,1,5
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,2,5
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,3,5
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,4,5
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,5,5
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,6,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,7,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,8,5
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,9,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,10,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,11,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,12,5
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,13,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,14,5
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,15,5
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,16,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,17,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,18,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,19,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,20,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,21,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,22,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,23,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,24,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,25,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,26,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,27,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,28,4
T4,"((0, 1, 2, 4), (5, 7, 8, 9))",pc,29,4
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,0,5
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,1,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,2,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,3,5
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,4,5
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,5,5
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,6,5
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,7,5
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,8,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,9,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,10,5
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,11,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,12,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,13,5
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,14,5
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,15,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,16,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,17,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,18,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,19,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,20,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,21,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,22,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,23,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,24,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,25,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,26,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,27,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,28,6
T4,"((0, 1, 2, 4), (6, 7, 8, 9))",pc,29,6
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,0,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,1,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,2,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,3,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,4,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,5,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,6,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,7,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,8,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,9,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,10,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,11,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,12,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,13,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,14,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,15,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,16,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,17,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,18,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,19,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,20,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,21,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,22,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,23,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,24,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,25,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,26,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,27,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,28,4
T4,"((0, 1, 3, 4), (5, 6, 7, 8))",pc,29,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,0,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,1,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,2,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,3,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,4,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,5,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,6,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,7,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,8,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,9,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,10,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,11,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,12,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,13,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,14,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,15,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,16,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,17,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,18,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,19,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,20,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,21,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,22,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,23,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,24,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,25,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,26,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,27,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,28,4
T4,"((0, 1, 3, 4), (5, 6, 7, 9))",pc,29,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,0,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,1,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,2,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,3,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,4,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,5,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,6,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,7,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,8,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,9,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,10,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,11,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,12,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,13,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,14,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,15,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,16,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,17,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,18,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,19,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,20,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,21,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,22,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,23,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,24,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,25,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,26,4
T4,"((0, 1, 3, 4), (5, 6, 8, 9))",pc,27,4
